Ticker,Revenue_per_Share,Z_score
GM,156.2768279374318,0.3165167533023264
PH,154.88929820470972,0.31002684845906864
GD,153.73369808912852,0.3046217500239766
HD,153.69986623241977,0.30446350798740435
PRU,152.45932155481097,0.2986610976162071
LOW,152.26143333759404,0.29773551334290993
CHRW,150.03404585489798,0.2873173345674527
DVA,148.0072539744465,0.2778374033407448
BLDR,146.81616775722603,0.2722663254549312
GS,146.46611779607346,0.2706290337380831
NUE,146.26187546874078,0.2696737293304765
POOL,145.61876732666764,0.26666571404435285
LH,145.40533674506298,0.26566743333541415
LEN,143.35159711895892,0.25606145918443496
DLTR,142.34855250427924,0.2513699099157627
PWR,141.4668590629488,0.24724595754183162
NRG,139.65985076073264,0.23879402195025842
CAT,138.29713096930507,0.23242016086042153
TSCO,134.93905570645876,0.21671340633227484
J,131.6110842830468,0.20114745675319579
DPZ,129.7161473415962,0.1922842517753377
JBHT,127.24055340672419,0.18070513481014921
LYB,126.44845261324629,0.1770002349044329
UPS,124.173219705677,0.1663582683085854
CB,123.60766358980352,0.16371298778667492
STLD,121.80783928722893,0.15529465397888212
REGN,121.37463912946924,0.15326844312686014
TDY,120.92750786978326,0.15117707221107066
GEV,120.58276516004585,0.14956460414725964
BLK,120.56464679196371,0.1494798589472144
TDG,117.35583143532331,0.13447123907185793
LDOS,115.69851535976858,0.12671946022928798
TMO,112.04444444444445,0.10962824267069482
MLM,110.88695492824547,0.10421430692571965
CVX,110.43914354004195,0.1021197548389211
DHI,109.43655659715871,0.0974303462425085
PGR,105.97902059128859,0.08125838311908516
CBRE,104.4023608756275,0.07388385896761747
AVY,104.10298407893819,0.07248358128204943
BA,104.06166062045865,0.07229029871159208
ACN,103.85827134571805,0.071338984294267
EXPE,102.99544346040302,0.06730327194897665
LHX,102.38416601640762,0.06444413866281833
SWK,102.3656625411899,0.06435759219783053
CE,100.12446917557476,0.053874839046553415
HUBB,100.10899842557829,0.0538024775735247
LYV,98.00818994114961,0.043976347843602895
HSIC,97.38138081257695,0.04104456807457309
DRI,96.93617021276596,0.038962180677861474
COF,96.42472925271771,0.036570013443256784
MET,95.72870558356433,0.03331449590375238
WTW,94.14743112434847,0.025918387172264395
SHW,91.52918858315569,0.013672058644532376
DAL,89.95770500141036,0.0063217448690855325
SNA,89.78659028485632,0.0055213885224592515
ZBRA,88.87165568049632,0.0012419569686206138
PKG,86.8749986082007,-0.008097024458750258
AXP,85.68873465708448,-0.013645547117524427
APTV,85.31033543797545,-0.015415437064288223
EQIX,84.86152710901436,-0.017514652150731686
MAR,84.23112614653506,-0.020463232035620026
HIG,83.92809479623459,-0.021880603196464125
DGX,82.89208439725843,-0.026726343613709368
IQV,82.5564738292011,-0.028296097832100645
EPAM,82.38354345451161,-0.029104946572258407
ALB,81.82555537593697,-0.031714829047726066
LULU,81.75417513024706,-0.03204869648947599
WMT,80.63011243617477,-0.037306284669639644
CRL,79.97972136732604,-0.04034836445228492
ROK,79.82937770453083,-0.04105156816916209
CEG,79.68940588736811,-0.041706259562579506
EMN,79.45614383201195,-0.04279729819555666
NFLX,78.89265907359915,-0.04543289033926583
TT,78.55873151308305,-0.04699477261189948
PHM,78.31783384207293,-0.04812152537614547
PPG,78.20831547363909,-0.04863377658991231
SJM,76.86314681502922,-0.054925545614122065
IT,76.65447729847833,-0.05590155735222527
